"There's Something About Mary (1998)",29426
"Indiana Jones and the Temple of Doom (1984)",29294
"Jaws (1975)",29265
"Wizard of Oz, The (1939)",29260
"Requiem for a Dream (2000)",29235
"Shutter Island (2010)",29096
"Austin Powers: The Spy Who Shagged Me (1999)",29089
"Jumanji (1995)",28904
"Edward Scissorhands (1990)",28689
"Office Space (1999)",28330
"Back to the Future Part II (1989)",28236
"Ratatouille (2007)",28187
"The Martian (2015)",28104
"Sin City (2005)",28015
"Clerks (1994)",27906
"Outbreak (1995)",27883
"Star Trek: Generations (1994)",27773
"Casino Royale (2006)",27689
"Austin Powers: International Man of Mystery (1997)",27589
"Shakespeare in Love (1998)",27514
"Star Wars: Episode II - Attack of the Clones (2002)",27415
"No Country for Old Men (2007)",27384
"Stand by Me (1986)",27367
"When Harry Met Sally... (1989)",27362
"Monty Python's Life of Brian (1979)",27292
"Firm, The (1993)",27224
"As Good as It Gets (1997)",27176
"Psycho (1960)",27027
"Spider-Man 2 (2004)",26989
"Gattaca (1997)",26958
"Bourne Ultimatum, The (2007)",26934
"Total Recall (1990)",26920
"Shaun of the Dead (2004)",26914
"Wolf of Wall Street, The (2013)",26861
"Bug's Life, A (1998)",26736
"Armageddon (1998)",26671
"Jerry Maguire (1996)",26643
"Guardians of the Galaxy (2014)",26482
"Natural Born Killers (1994)",26472
"Avengers, The (2012)",26315
"Lost in Translation (2003)",26273
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",26258
"Hunt for Red October, The (1990)",26219
"Harry Potter and the Goblet of Fire (2005)",26211
"Back to the Future Part III (1990)",26166
"Shrek 2 (2004)",26102
"Nightmare Before Christmas, The (1993)",26081
"Contact (1997)",25896
"Bourne Supremacy, The (2004)",25836
"Cliffhanger (1993)",25769
"Slumdog Millionaire (2008)",25745
"City of God (Cidade de Deus) (2002)",25688
"Net, The (1995)",25669
"Who Framed Roger Rabbit? (1988)",25451
"Meet the Parents (2000)",25370
"Crimson Tide (1995)",25270
"Little Miss Sunshine (2006)",25057
"Amadeus (1984)",24986
"While You Were Sleeping (1995)",24940
"Airplane! (1980)",24936
"Rear Window (1954)",24883
"Ace Ventura: When Nature Calls (1995)",24849
"300 (2007)",24833
"Get Shorty (1995)",24829
"District 9 (2009)",24808
"Star Wars: Episode III - Revenge of the Sith (2005)",24773
"Beetlejuice (1988)",24681
"X2: X-Men United (2003)",24680
"The Imitation Game (2014)",24460
"Lock, Stock & Two Smoking Barrels (1998)",24152
"Juno (2007)",24094
"Top Gun (1986)",24068
"Blues Brothers, The (1980)",24039
"Almost Famous (2000)",24024
"Big (1988)",24016
"Ice Age (2002)",24005
"Face/Off (1997)",23875
"Matrix Revolutions, The (2003)",23699
"Birdcage, The (1996)",23546
"I, Robot (2004)",23382
"Hangover, The (2009)",23372
"Game, The (1997)",23310
"Broken Arrow (1996)",23156
"Deadpool (2016)",23147
"Happy Gilmore (1996)",22963
"Mummy, The (1999)",22927
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",22922
"Citizen Kane (1941)",22920
"Philadelphia (1993)",22912
"Chicken Run (2000)",22822
"Blair Witch Project, The (1999)",22780
"Pianist, The (2002)",22683
"Fish Called Wanda, A (1988)",22610
"Leaving Las Vegas (1995)",22525
"Liar Liar (1997)",22475
"Graduate, The (1967)",22319
"Casino (1995)",22298
"Mission: Impossible II (2000)",22254
"Sense and Sensibility (1995)",22251
"Run Lola Run (Lola rennt) (1998)",22239
"Star Trek: First Contact (1996)",22188
"Lethal Weapon (1987)",22152
"Big Fish (2003)",22072
"Nutty Professor, The (1996)",22021
"12 Angry Men (1957)",21863
"Dead Man Walking (1995)",21759
"Erin Brockovich (2000)",21645
"Grand Budapest Hotel, The (2014)",21554
"Inside Out (2015)",21483
"Pirates of the Caribbean: Dead Man's Chest (2006)",21481
"Charlie's Angels (2000)",21392
"28 Days Later (2002)",21390
"Social Network, The (2010)",21335
"Mad Max: Fury Road (2015)",21315
"Star Trek (2009)",21229
"Quiz Show (1994)",21085
"Harry Potter and the Order of the Phoenix (2007)",21073
"Starship Troopers (1997)",21043
"Harry Potter and the Half-Blood Prince (2009)",21033
"Harry Potter and the Deathly Hallows: Part 1 (2010)",20969
"Unbreakable (2000)",20917
"South Park: Bigger, Longer and Uncut (1999)",20870
"Demolition Man (1993)",20850
"The Butterfly Effect (2004)",20839
"Mars Attacks! (1996)",20793
"Predator (1987)",20776
"Chinatown (1974)",20730
"Children of Men (2006)",20686
"Rocky (1976)",20682
"Hot Fuzz (2007)",20655
"Mr. Holland's Opus (1995)",20596
"Ex Machina (2015)",20588
"Snow White and the Seven Dwarfs (1937)",20567
"I Am Legend (2007)",20415
"Abyss, The (1989)",20399
"In the Line of Fire (1993)",20399
"Royal Tenenbaums, The (2001)",20357
"Sherlock Holmes (2009)",20352
"Toy Story 3 (2010)",20327
"The Hunger Games (2012)",20315
"King's Speech, The (2010)",20274
"High Fidelity (2000)",20240
"Harry Potter and the Deathly Hallows: Part 2 (2011)",20227
"Last Samurai, The (2003)",20186
"Addams Family Values (1993)",20166
"Gone Girl (2014)",20160
"How to Train Your Dragon (2010)",20142
"Bruce Almighty (2003)",20141
"Dogma (1999)",20101
"North by Northwest (1959)",20093
"40-Year-Old Virgin, The (2005)",20093
"Dave (1993)",19992
"Scream (1996)",19963
"Zombieland (2009)",19908
"Platoon (1986)",19876
"Traffic (2000)",19788
"Edge of Tomorrow (2014)",19760
"Arrival (2016)",19742
"Eyes Wide Shut (1999)",19727
"Few Good Men, A (1992)",19616
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)",19566
"Superbad (2007)",19565
"Scarface (1983)",19546
"Vertigo (1958)",19529
"What's Eating Gilbert Grape (1993)",19510
"This Is Spinal Tap (1984)",19492
"Whiplash (2014)",19477
"Annie Hall (1977)",19323
"Die Hard 2 (1990)",19308
"Black Swan (2010)",19149
"American President, The (1995)",19127
"Lost World: Jurassic Park, The (1997)",19112
"School of Rock (2003)",19044
"Untouchables, The (1987)",18929
"Grease (1978)",18926
"American Psycho (2000)",18868
"Gran Torino (2008)",18810
"Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)",18809
"To Kill a Mockingbird (1962)",18785
"Star Wars: Episode VII - The Force Awakens (2015)",18727
"Brazil (1985)",18702
"Maverick (1994)",18685
"Patriot, The (2000)",18624
"Bridget Jones's Diary (2001)",18623
"Crow, The (1994)",18497
"Million Dollar Baby (2004)",18458
"Sting, The (1973)",18416
"Intouchables (2011)",18416
"Star Trek II: The Wrath of Khan (1982)",18400
"RoboCop (1987)",18396
"It's a Wonderful Life (1946)",18374
"Honey, I Shrunk the Kids (1989)",18346
"Young Frankenstein (1974)",18311
"Love Actually (2003)",18272
"Enemy of the State (1998)",18246
"Exorcist, The (1973)",18245
"Gravity (2013)",18126
"Sound of Music, The (1965)",18122
"Raising Arizona (1987)",18065
"Piano, The (1993)",17960
"Little Mermaid, The (1989)",17911
"Santa Clause, The (1994)",17903
"Close Encounters of the Third Kind (1977)",17834
"Legends of the Fall (1994)",17820
"Con Air (1997)",17747
"True Romance (1993)",17743
"Princess Mononoke (Mononoke-hime) (1997)",17730
"Rushmore (1998)",17715
"Mary Poppins (1964)",17710
"Wallace & Gromit: The Wrong Trousers (1993)",17652
"Unforgiven (1992)",17593
"Butch Cassidy and the Sundance Kid (1969)",17587
"Signs (2002)",17526
"Galaxy Quest (1999)",17512
"Moulin Rouge (2001)",17506
"Ed Wood (1994)",17428
"Sleepy Hollow (1999)",17415
"Notting Hill (1999)",17387
"Mr. & Mrs. Smith (2005)",17358
"Eraser (1996)",17341
"Old Boy (2003)",17331
"Air Force One (1997)",17233
"A.I. Artificial Intelligence (2001)",17225
"Charlie and the Chocolate Factory (2005)",17186
"Full Monty, The (1997)",17167
"Her (2013)",17110
"Iron Man 2 (2010)",17099
"Black Hawk Down (2001)",17083
"Watchmen (2009)",17016
"Italian Job, The (2003)",17009
"Superman (1978)",16890
"10 Things I Hate About You (1999)",16876
"Judge Dredd (1995)",16833
"Gone with the Wind (1939)",16824
"From Dusk Till Dawn (1996)",16824
"English Patient, The (1996)",16746
"The Devil's Advocate (1997)",16718
"Cable Guy, The (1996)",16699
"Wayne's World (1992)",16697
"Boogie Nights (1997)",16652
"Mulholland Drive (2001)",16635
"Others, The (2001)",16578
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",16536
"Seven Samurai (Shichinin no samurai) (1954)",16531
"Client, The (1994)",16467
"Kung Fu Panda (2008)",16390
"Robin Hood: Men in Tights (1993)",16363
"Wedding Singer, The (1998)",16337
"Desperado (1995)",16327
"Blood Diamond (2006)",16325
"Legally Blonde (2001)",16274
"Ring, The (2002)",16246
"Tombstone (1993)",16211
"Alien³ (a.k.a. Alien 3) (1992)",16179
"Bowling for Columbine (2002)",16169
"My Cousin Vinny (1992)",16164
"Hobbit: An Unexpected Journey, The (2012)",16149
"Taken (2008)",16133
"Talented Mr. Ripley, The (1999)",16075
"Mask of Zorro, The (1998)",16068
"Howl's Moving Castle (Hauru no ugoku shiro) (2004)",16009
"(500) Days of Summer (2009)",15977
"Limitless (2011)",15946
"Naked Gun 33 1/3: The Final Insult (1994)",15893
"Batman Returns (1992)",15834
"Boot, Das (Boat, The) (1981)",15804
"Kick-Ass (2010)",15783
"Lawrence of Arabia (1962)",15772
"My Big Fat Greek Wedding (2002)",15762
"Moon (2009)",15744
"Ransom (1996)",15696
"Big Hero 6 (2014)",15680
"Blade (1998)",15679
"Grosse Pointe Blank (1997)",15667
"Pocahontas (1995)",15667
"Beverly Hills Cop III (1994)",15601
"Planet of the Apes (1968)",15599
"Magnolia (1999)",15557
"Skyfall (2012)",15512
"Congo (1995)",15511
"There Will Be Blood (2007)",15494
"Chasing Amy (1997)",15477
"In Bruges (2008)",15472
"Rocky Horror Picture Show, The (1975)",15472
"Truth About Cats & Dogs, The (1996)",15472
"Dragonheart (1996)",15471
"Miss Congeniality (2000)",15462
"Pirates of the Caribbean: At World's End (2007)",15453
"Pleasantville (1998)",15417
"Kingsman: The Secret Service (2015)",15392
"X-Men: First Class (2011)",15387
"Serenity (2005)",15364
"Illusionist, The (2006)",15298
"Election (1999)",15290
"Chocolat (2000)",15269
"Spaceballs (1987)",15168
"Bad Boys (1995)",15155
"Lethal Weapon 2 (1989)",15124
"Romancing the Stone (1984)",15101
"Jackie Brown (1997)",15038
"Last Action Hero (1993)",15028
"Christmas Story, A (1983)",15016
"Big Short, The (2015)",14997
"Curious Case of Benjamin Button, The (2008)",14997
"You've Got Mail (1998)",14973
"Mulan (1998)",14851
"Coneheads (1993)",14828
"Zoolander (2001)",14824
"Looper (2012)",14824
"Mystic River (2003)",14774
"50 First Dates (2004)",14774
"Scott Pilgrim vs. the World (2010)",14772
"Bridge on the River Kwai, The (1957)",14726
"Pinocchio (1940)",14721
"Thing, The (1982)",14719
"Training Day (2001)",14680
"Species (1995)",14662
"Scary Movie (2000)",14648
"Avengers: Infinity War - Part I (2018)",14645
"Rush Hour (1998)",14643
"Hot Shots! Part Deux (1993)",14637
"Wedding Crashers (2005)",14627
"Goonies, The (1985)",14603
"Much Ado About Nothing (1993)",14593
"Terminator 3: Rise of the Machines (2003)",14509
"Into the Wild (2007)",14477
"Thor (2011)",14456
"Zootopia (2016)",14431
"Day After Tomorrow, The (2004)",14428
"Goldfinger (1964)",14422
"Dark City (1998)",14404
"Casper (1995)",14395
"Army of Darkness (1993)",14379
"Good Morning, Vietnam (1987)",14376
"Star Trek IV: The Voyage Home (1986)",14369
"Sling Blade (1996)",14354
"Arachnophobia (1990)",14351
"Drive (2011)",14327
"Pursuit of Happyness, The (2006)",14319
"War of the Worlds (2005)",14312
"Tomorrow Never Dies (1997)",14288
"Field of Dreams (1989)",14286
"Hotel Rwanda (2004)",14276
"Gremlins (1984)",14222
"Napoleon Dynamite (2004)",14216
"Maltese Falcon, The (1941)",14190
"Fantasia (1940)",14154
"Troy (2004)",14150
"Despicable Me (2010)",14136
"What Women Want (2000)",14132
"Dirty Dancing (1987)",14112
"Phenomenon (1996)",14093
"X-Men: The Last Stand (2006)",13991
"Crash (2004)",13969
"Wallace & Gromit: A Close Shave (1995)",13944
"Terminal, The (2004)",13939
"Gone in 60 Seconds (2000)",13937
"Collateral (2004)",13937
"Austin Powers in Goldmember (2002)",13934
"Garden State (2004)",13860
"Captain America: The First Avenger (2011)",13852
"Gangs of New York (2002)",13844
"Captain America: The Winter Soldier (2014)",13830
"Birds, The (1963)",13793
"Johnny Mnemonic (1995)",13788
"The Hunger Games: Catching Fire (2013)",13777
"Super Size Me (2004)",13770
"Adaptation (2002)",13719
"Crocodile Dundee (1986)",13719
"Beverly Hills Cop (1984)",13714
"Pearl Harbor (2001)",13699
"Wild Wild West (1999)",13691
"Thelma & Louise (1991)",13685
"Blazing Saddles (1974)",13664
"Last of the Mohicans, The (1992)",13630
"Deer Hunter, The (1978)",13621
"Three Kings (1999)",13609
"Some Like It Hot (1959)",13608
"Sabrina (1995)",13585
"Source Code (2011)",13580
"Silver Linings Playbook (2012)",13576
"My Neighbor Totoro (Tonari no Totoro) (1988)",13556
"Three Musketeers, The (1993)",13547
"Mean Girls (2004)",13543
"Mummy Returns, The (2001)",13542
"Equilibrium (2002)",13539
"Alien: Resurrection (1997)",13485
"Vanilla Sky (2001)",13471
"Cool Hand Luke (1967)",13466
"Deep Impact (1998)",13458
"M*A*S*H (a.k.a. MASH) (1970)",13455
"Anchorman: The Legend of Ron Burgundy (2004)",13409
"Transformers (2007)",13390
"Donnie Brasco (1997)",13390
"Ocean's Twelve (2004)",13348
"Animal House (1978)",13334
"Thomas Crown Affair, The (1999)",13325
"Highlander (1986)",13311
"Thor: Ragnarok (2017)",13286
"Sneakers (1992)",13275
"Thank You for Smoking (2006)",13226
"Great Escape, The (1963)",13217
"Nightcrawler (2014)",13215
"Fear and Loathing in Las Vegas (1998)",13214
"Da Vinci Code, The (2006)",13183
"Father of the Bride Part II (1995)",13154
"Glory (1989)",13152
"X-Men: Days of Future Past (2014)",13151
"American Pie 2 (2001)",13139
"Grumpier Old Men (1995)",13134
"Guardians of the Galaxy 2 (2017)",13115
"X-Files: Fight the Future, The (1998)",13082
"John Wick (2014)",13055
"Raging Bull (1980)",13049
"City Slickers II: The Legend of Curly's Gold (1994)",13005
"About a Boy (2002)",12969
"Basic Instinct (1992)",12968
"Fly, The (1986)",12962
"Singin' in the Rain (1952)",12913
"Boondock Saints, The (2000)",12878
"Rob Roy (1995)",12868
"Hitchhiker's Guide to the Galaxy, The (2005)",12859
"Space Jam (1996)",12859
"Lord of War (2005)",12859
"Antz (1998)",12857
"Disclosure (1994)",12836
"Best in Show (2000)",12835
"Saw (2004)",12829
"Time to Kill, A (1996)",12809
"Primal Fear (1996)",12797
"Perfect Storm, The (2000)",12771
"So I Married an Axe Murderer (1993)",12764
"Logan (2017)",12727
"Iron Man 3 (2013)",12709
"Crying Game, The (1992)",12703
"First Knight (1995)",12664
"Executive Decision (1996)",12663
"Tommy Boy (1995)",12644
"Fast and the Furious, The (2001)",12641
"Sherlock Holmes: A Game of Shadows (2011)",12627
"French Kiss (1995)",12617
"Heathers (1989)",12600
"Splash (1984)",12558
"Zodiac (2007)",12549
"Simpsons Movie, The (2007)",12517
"National Treasure (2004)",12517
"Rogue One: A Star Wars Story (2016)",12513
"NeverEnding Story, The (1984)",12497
"Hunchback of Notre Dame, The (1996)",12497
"Me, Myself & Irene (2000)",12467
"Lady and the Tramp (1955)",12430
"Planet of the Apes (2001)",12420
"Doctor Strange (2016)",12404
"Devil Wears Prada, The (2006)",12386
"Iron Giant, The (1999)",12381
"Chicago (2002)",12378
"Witness (1985)",12332
"Godfather: Part III, The (1990)",12326
"Rumble in the Bronx (Hont faan kui) (1995)",12308
"Girl with the Dragon Tattoo, The (2011)",12307
"Blue Velvet (1986)",12303
"Lives of Others, The (Das leben der Anderen) (2006)",12273
"Mortal Kombat (1995)",12261
"Notebook, The (2004)",12215
"The Machinist (2004)",12200
"Hobbit: The Desolation of Smaug, The (2013)",12175
"Hellboy (2004)",12169
"William Shakespeare's Romeo + Juliet (1996)",12161
"Moonrise Kingdom (2012)",12136
"Trading Places (1983)",12106
"Avengers: Age of Ultron (2015)",12099
"Jungle Book, The (1967)",12077
"Like Water for Chocolate (Como agua para chocolate) (1992)",12026
"Misery (1990)",12018
"Hudsucker Proxy, The (1994)",12016
"Life of Pi (2012)",11982
"Tron (1982)",11973
"Remember the Titans (2000)",11927
"Argo (2012)",11926
"Muriel's Wedding (1994)",11920
"Aviator, The (2004)",11885
"The Revenant (2015)",11873
"Stranger than Fiction (2006)",11865
"Star Trek III: The Search for Spock (1984)",11835
"Breakfast at Tiffany's (1961)",11835
"Avengers: Infinity War - Part II (2019)",11811
"My Best Friend's Wedding (1997)",11802
"Mad Max (1979)",11801
"Big Daddy (1999)",11737
"Star Trek VI: The Undiscovered Country (1991)",11736
"Cars (2006)",11703
"African Queen, The (1951)",11693
"Batman & Robin (1997)",11686
"Get Out (2017)",11679
"Ronin (1998)",11672
"Road Warrior, The (Mad Max 2) (1981)",11672
"Parasite (2019)",11670
"Postman, The (Postino, Il) (1994)",11659
"Joker (2019)",11635
"Pitch Black (2000)",11632
"Akira (1988)",11622
"Kingpin (1996)",11611
"Road to Perdition (2002)",11605
"Lucky Number Slevin (2006)",11593
"Cocoon (1985)",11559
"Inside Man (2006)",11559
"Jurassic Park III (2001)",11545
"Pi (1998)",11543
"River Wild, The (1994)",11536
"Nell (1994)",11523
"Conspiracy Theory (1997)",11518
"League of Their Own, A (1992)",11506
"Karate Kid, The (1984)",11493
"Tangled (2010)",11492
"Nine Months (1995)",11491
"Walk the Line (2005)",11478
"Hannibal (2001)",11444
"Hook (1991)",11443
"Emperor's New Groove, The (2000)",11437
"Specialist, The (1994)",11413
"Monty Python's The Meaning of Life (1983)",11412
"Hurt Locker, The (2008)",11402
"Wag the Dog (1997)",11401
"The Hateful Eight (2015)",11400
"Spider-Man 3 (2007)",11399
"Lara Croft: Tomb Raider (2001)",11388
"Poltergeist (1982)",11366
"Elf (2003)",11360
"Constantine (2005)",11347
"Dracula (Bram Stoker's Dracula) (1992)",11331
"James and the Giant Peach (1996)",11317
"Birdman: Or (The Unexpected Virtue of Ignorance) (2014)",11268
"Moneyball (2011)",11259
"Scent of a Woman (1992)",11254
"Prometheus (2012)",11254
"Enemy at the Gates (2001)",11246
"Cinderella (1950)",11226
"Remains of the Day, The (1993)",11206
"Searching for Bobby Fischer (1993)",11176
"Indiana Jones and the Kingdom of the Crystal Skull (2008)",11152
"Blow (2001)",11146
"Rise of the Planet of the Apes (2011)",11128
"Knocked Up (2007)",11104
"Frozen (2013)",11102
"Blade Runner 2049 (2017)",11094
"Gandhi (1982)",11078
"My Fair Lady (1964)",11077
"Hitch (2005)",11066
"Shanghai Noon (2000)",11026
"Caddyshack (1980)",11006
"Captain America: Civil War (2016)",10997
"Cinema Paradiso (Nuovo cinema Paradiso) (1989)",10982
"Escape from New York (1981)",10981
"Dodgeball: A True Underdog Story (2004)",10974
"Panic Room (2002)",10957
"Hancock (2008)",10948
"Burn After Reading (2008)",10946
"Fahrenheit 9/11 (2004)",10946
"Tin Cup (1996)",10937
"King Kong (2005)",10934
"Sideways (2004)",10928
"Little Women (1994)",10899
"Carrie (1976)",10870
"Hoop Dreams (1994)",10852
"21 Jump Street (2012)",10851
"Bill & Ted's Excellent Adventure (1989)",10845
"Now You See Me (2013)",10821
"Tropic Thunder (2008)",10818
"Flintstones, The (1994)",10815
"Analyze This (1999)",10791
"Knives Out (2019)",10740
"Billy Elliot (2000)",10736
"Billy Madison (1995)",10728
"Star Trek: The Motion Picture (1979)",10727
"Bend It Like Beckham (2002)",10725
"Blind Side, The  (2009)",10723
"Ghost in the Shell (Kôkaku kidôtai) (1995)",10719
"Wreck-It Ralph (2012)",10694
"Cruel Intentions (1999)",10690
"Rosemary's Baby (1968)",10690
"Willow (1988)",10683
"Junior (1994)",10683
"True Grit (2010)",10677
"Dune (1984)",10675
"Adventures of Priscilla, Queen of the Desert, The (1994)",10642
"Bonnie and Clyde (1967)",10610
"Ant-Man (2015)",10595
"Patriot Games (1992)",10572
"Lethal Weapon 3 (1992)",10567
"Dumbo (1941)",10545
"Labyrinth (1986)",10534
"Swingers (1996)",10519
"Dallas Buyers Club (2013)",10511
"Cape Fear (1991)",10505
"World Is Not Enough, The (1999)",10496
"Life Aquatic with Steve Zissou, The (2004)",10482
"Star Trek Into Darkness (2013)",10480
"Sixteen Candles (1984)",10459
"Negotiator, The (1998)",10438
"Spider-Man: Into the Spider-Verse (2018)",10434
"Ocean's Thirteen (2007)",10379
"I.Q. (1994)",10334
"Copycat (1995)",10317
"Fatal Attraction (1987)",10267
"Carlito's Way (1993)",10266
"Addams Family, The (1991)",10248
"Naked Gun: From the Files of Police Squad!, The (1988)",10237
"The Lego Movie (2014)",10233
"Dangerous Minds (1995)",10223
"K-PAX (2001)",10219
"101 Dalmatians (1996)",10185
"Cabin in the Woods, The (2012)",10172
"Ghostbusters II (1989)",10171
"Ben-Hur (1959)",10165
"X-Men Origins: Wolverine (2009)",10164
"Brokeback Mountain (2005)",10155
"Bowfinger (1999)",10147
"Bridges of Madison County, The (1995)",10131
"Manhattan (1979)",10130
"Lethal Weapon 4 (1998)",10129
"8 Mile (2002)",10093
"Knight's Tale, A (2001)",10077
"Say Anything... (1989)",10045
"Manchurian Candidate, The (1962)",10028
"Corpse Bride (2005)",10006
"Striptease (1996)",10004
"Midnight in Paris (2011)",10003
"Insider, The (1999)",9981
"Alice in Wonderland (1951)",9981
"French Connection, The (1971)",9961
"Road Trip (2000)",9947
"Man on Fire (2004)",9935
"Quantum of Solace (2008)",9919
"101 Dalmatians (One Hundred and One Dalmatians) (1961)",9908
"Brady Bunch Movie, The (1995)",9903
"Rush Hour 2 (2001)",9895
"Femme Nikita, La (Nikita) (1990)",9868
"Evil Dead II (Dead by Dawn) (1987)",9858
"People vs. Larry Flynt, The (1996)",9830
"Fantastic Mr. Fox (2009)",9818
"Deadpool 2 (2018)",9815
"West Side Story (1961)",9813
"Master and Commander: The Far Side of the World (2003)",9808
"Fried Green Tomatoes (1991)",9797
"Home Alone 2: Lost in New York (1992)",9790
