"quarter3","total_wage","ID"
"473","4307470","2096937"
"310","1856138","2096938"
"47","255450","2096939"
"606","4896094","2096940"
"188","1844533","2096941"
"72","626686","2096942"
"473","4307470","2096943"
"378","9895006","2096944"
"983","10019922","2096945"
"2022","19305658","2096946"
"586","7691292","2096947"
"85","529980","2096948"
"70","629241","2096949"
"378","3845620","2096950"
"1990","20191377","2096951"
"655","8702889","2096952"
"54","603654","2096953"
"15","223156","2096954"
"8","77871","2096955"
"21","245523","2096956"
"112","1908201","2096957"
"29","1339456","2096958"
"20","226944","2096959"
"32","285823","2096960"
"5","17611","2096961"
"12","99833","2096962"
"60","496191","2096963"
"24","290002","2096964"
"4","32390","2096965"
"12","116609","2096966"
"33","356452","2096967"
"8","59537","2096968"
"22","303085","2096969"
"95","2035221","2096970"
"349","4566784","2096971"
"8","77871","2096972"
"26","326077","2096973"
"23","262089","2096974"
"38","329192","2096975"
"89","682583","2096976"
"54","603654","2096977"
"7","44571","2096978"
"14","160742","2096979"
"15","223156","2096980"
"8","77871","2096981"
"14","183217","2096982"
"252","3534016","2096983"
"36","1406956","2096984"
"23","262089","2096985"
"20","226944","2096986"
"32","285823","2096987"
"5","17611","2096988"
"77","805824","2096989"
"12","116609","2096990"
"7","94778","2096991"
"48","380456","2096992"
"12","116609","2096993"
"245","3147158","2096994"
"41","1431567","2096995"
"8","77871","2096996"
"1948","21615114","2096997"
"14","125192","2096998"
"70","614192","2096999"
"106","727914","2097000"
"82","827270","2097001"
"30","301068","2097002"
"182","3242108","2097003"
"8","48312","2097004"
"8","68575","2097005"
"133","2344202","2097006"
"15","132653","2097007"
"14","90717","2097008"
"84","457504","2097009"
"184","1488776","2097010"
"85","1083234","2097011"
"77","560662","2097012"
"33","268955","2097013"
"51","188707","2097014"
"45","373659","2097015"
"211","2074328","2097016"
"22","215772","2097017"
"55","891282","2097018"
"63","528170","2097019"
"13","164670","2097020"
"86","1112932","2097021"
"140","1084646","2097022"
"169","1521680","2097023"
"648","8927756","2097024"
"32","253045","2097025"
"408","4137867","2097026"
"215","2100732","2097027"
"69","290258","2097028"
"9","349053","2097029"
"53","586327","2097030"
"111","803680","2097031"
"122","1803151","2097032"
"39","294029","2097033"
"21","155919","2097034"
"45","373659","2097035"
"43","225581","2097036"
"31","381552","2097037"
"78","662504","2097038"
"106","727914","2097039"
"82","827270","2097040"
"59","210824","2097041"
"361","5506849","2097042"
"63","773595","2097043"
"133","2344202","2097044"
"9","349053","2097045"
"15","132653","2097046"
"14","90717","2097047"
"154","1076705","2097048"
"184","1488776","2097049"
"77","560662","2097050"
"23","128113","2097051"
"211","2074328","2097052"
"22","215772","2097053"
"55","891282","2097054"
"106","580013","2097055"
"97","959923","2097056"
"22","215772","2097057"
"55","891282","2097058"
"9","349053","2097059"
"211","1756122","2097060"
"375","4517035","2097061"
"148","1365761","2097062"
"138","1487467","2097063"
"215","2100732","2097064"
"2940","24136973","2097065"
"13","50559","2097066"
"231","1862556","2097067"
"112","1013323","2097068"
"172","1382628","2097069"
"85","590248","2097070"
"64","295597","2097071"
"156","1210942","2097072"
"139","2014719","2097073"
"11","97720","2097074"
"120","1073308","2097075"
"175","1488780","2097076"
"24","127750","2097077"
"43","302564","2097078"
"11","48806","2097079"
"114","1086159","2097080"
"359","2864736","2097081"
"729","5848994","2097082"
"16","166609","2097083"
"101","786671","2097084"
"262","1860749","2097085"
"191","2296575","2097086"
"1091","8566568","2097087"
"592","4772167","2097088"
"117","1097859","2097089"
"25","135879","2097090"
"17","130999","2097091"
"142","1192690","2097092"
"80","691232","2097093"
"419","3341081","2097094"
"13","50559","2097095"
"231","1862556","2097096"
"73","673904","2097097"
"139","1186987","2097098"
"178","1411727","2097099"
"85","590248","2097100"
"32","253045","2097101"
"7","35657","2097102"
"175","1488780","2097103"
"64","295597","2097104"
"17","130999","2097105"
"156","1210942","2097106"
"139","2014719","2097107"
"852","6782191","2097108"
"120","1073308","2097109"
"35","186012","2097110"
"114","1086159","2097111"
"359","2864736","2097112"
"73","390760","2097113"
"188","1463987","2097114"
"359","2864736","2097115"
"17","130999","2097116"
"143","1286691","2097117"
"1080","8517762","2097118"
"178","2246016","2097119"
"90","620740","2097120"
"117","1097859","2097121"
"3791","40247123","2097122"
"34","202726","2097123"
"12","70447","2097124"
"30","146272","2097125"
"46","520520","2097126"
"42","414986","2097127"
"53","338533","2097128"
"185","1178755","2097129"
"214","5988194","2097130"
"6","38298","2097131"
"21","207848","2097132"
"33","139002","2097133"
"5","27388","2097134"
"23","156486","2097135"
"156","1947394","2097136"
"20","148486","2097137"
"333","2950040","2097138"
"8","53852","2097139"
"30","150102","2097140"
"22","240514","2097141"
"19","35608","2097142"
"1640","16802694","2097143"
"29","261842","2097144"
"34","268849","2097145"
"3","136360","2097146"
"35","229307","2097147"
"63","502721","2097148"
"289","2672867","2097149"
"257","3144231","2097150"
"316","3009484","2097151"
"506","4215810","2097152"
"1645","16830082","2097153"
"71","331886","2097154"
"234","6234969","2097155"
"54","440873","2097156"
"133","1063320","2097157"
"280","2110309","2097158"
"67","355435","2097159"
"26","254548","2097160"
"30","146272","2097161"
"46","520520","2097162"
"22","38574","2097163"
"31","360651","2097164"
"62","521747","2097165"
"53","338533","2097166"
"185","1178755","2097167"
"13","38867","2097168"
"130","1378013","2097169"
"75","496802","2097170"
"33","139002","2097171"
"234","6234969","2097172"
"23","156486","2097173"
"156","1947394","2097174"
"333","2950040","2097175"
"8","53852","2097176"
"160","1795685","2097177"
"1640","16802694","2097178"
"29","261842","2097179"
"34","268849","2097180"
"100","629589","2097181"
"30","146272","2097182"
"208","1335241","2097183"
"138","1555171","2097184"
"29","261842","2097185"
"34","268849","2097186"
"234","6234969","2097187"
"397","3456765","2097188"
"288","2745724","2097189"
"185","2209094","2097190"
"62","414724","2097191"
"1645","16830082","2097192"
"872","12523996","2097193"
"45","591483","2097194"
"29","508176","2097195"
"80","1244818","2097196"
"22","210239","2097197"
"18","203305","2097198"
"14","75275","2097199"
"16","229375","2097200"
"4","30739","2097201"
"18","222122","2097202"
"3","17157","2097203"
"10","72537","2097204"
"2","15135","2097205"
"25","282603","2097206"
"3","66629","2097207"
"26","127397","2097208"
"9","105214","2097209"
"4","49788","2097210"
"25","173824","2097211"
"78","799948","2097212"
"52","625370","2097213"
"59","551803","2097214"
"347","5120302","2097215"
"23","136279","2097216"
"74","832436","2097217"
"36","286648","2097218"
"71","813140","2097219"
"20","160604","2097220"
"14","106358","2097221"
"49","613808","2097222"
"29","508176","2097223"
"80","1244818","2097224"
"17","92432","2097225"
"26","187024","2097226"
"22","234044","2097227"
"24","211608","2097228"
"27","327336","2097229"
"35","220449","2097230"
"10","72537","2097231"
"2","15135","2097232"
"25","282603","2097233"
"24","160998","2097234"
"65","756487","2097235"
"28","147931","2097236"
"2","15135","2097237"
"25","282603","2097238"
"34","377979","2097239"
"34","438854","2097240"
"4","30739","2097241"
"22","210239","2097242"
"11701","138330105","2097243"
"80","1244818","2097244"
"130","2339448","2097245"
"105","1219890","2097246"
"89","1035728","2097247"
"241","2543393","2097248"
"708","9095928","2097249"
"227","2144797","2097250"
"22","141899","2097251"
"104","966734","2097252"
"423","5573604","2097253"
"427","5702662","2097254"
"230","2369608","2097255"
"72","656743","2097256"
"138","1509776","2097257"
"385","4472687","2097258"
"21","107010","2097259"
"246","3060320","2097260"
"584","7656844","2097261"
"107","1137314","2097262"
"385","4637864","2097263"
"231","2642119","2097264"
"520","6449058","2097265"
"208","1990128","2097266"
"46","427118","2097267"
"199","2081690","2097268"
"35","433680","2097269"
"4","347307","2097270"
"171","2189587","2097271"
"175","1772880","2097272"
"448","4874967","2097273"
"387","4845791","2097274"
"59","440045","2097275"
"52","593514","2097276"
"60","477305","2097277"
"287","3556575","2097278"
"239","2823891","2097279"
"66","525767","2097280"
"137","1673157","2097281"
"36","357504","2097282"
"513","5581123","2097283"
"301","3095825","2097284"
"89","1100470","2097285"
"417","4628278","2097286"
"85","798263","2097287"
"200","2266204","2097288"
"269","2873009","2097289"
"532","7136848","2097290"
"58","923432","2097291"
"764","8541132","2097292"
"32","282690","2097293"
"1414","17965826","2097294"
"1693","19547320","2097295"
"2953","36290499","2097296"
"852","10739232","2097297"
"124","1534150","2097298"
"609","6020556","2097299"
"23","472987","2097300"
"15591","249732771","2097301"
"1819","21602040","2097302"
"1010","10634553","2097303"
"1129","12570354","2097304"
"422","5922195","2097305"
"346","3763283","2097306"
"174","1833991","2097307"
"938","11465536","2097308"
"227","2144797","2097309"
"460","4910881","2097310"
"236","2100782","2097311"
"690","8740934","2097312"
"472","6214652","2097313"
"138","1509776","2097314"
"385","4472687","2097315"
"267","2633057","2097316"
"1920","23240548","2097317"
"490","4900322","2097318"
"616","7279983","2097319"
"46","427118","2097320"
"23","472987","2097321"
"171","2189587","2097322"
"448","4874967","2097323"
"987","12622833","2097324"
"59","440045","2097325"
"520","5828979","2097326"
"513","5581123","2097327"
"89","1100470","2097328"
"417","4628278","2097329"
"200","2266204","2097330"
"727","9271853","2097331"
"174","1833991","2097332"
"556","6662274","2097333"
"22","141899","2097334"
"281","3005088","2097335"
"200","2266204","2097336"
"23","472987","2097337"
"119","1384624","2097338"
"1569","19735019","2097339"
"755","8081784","2097340"
"282","2910194","2097341"
"385","4637864","2097342"
"142","1530242","2097343"
"124","1534150","2097344"
"9197","104557381","2097345"
"127","2260113","2097346"
"102","1196779","2097347"
"89","1035728","2097348"
"236","2512146","2097349"
"686","8829399","2097350"
"227","2144797","2097351"
"16","102870","2097352"
"96","897968","2097353"
"216","2585495","2097354"
"113","1301249","2097355"
"230","2369608","2097356"
"71","645768","2097357"
"66","723859","2097358"
"251","2376873","2097359"
"236","2458172","2097360"
"549","7244095","2097361"
"101","1112784","2097362"
"352","4175844","2097363"
"231","2642119","2097364"
"516","6393441","2097365"
"205","1962999","2097366"
"39","335440","2097367"
"192","2007184","2097368"
"171","2189587","2097369"
"175","1772880","2097370"
"412","4586079","2097371"
"384","4834811","2097372"
"33","257316","2097373"
"52","593514","2097374"
"48","344069","2097375"
"196","2264760","2097376"
"177","2084631","2097377"
"55","479328","2097378"
"137","1673157","2097379"
"15","142095","2097380"
"513","5581123","2097381"
"285","2960022","2097382"
"7","80148","2097383"
"10","104542","2097384"
"53","415284","2097385"
"150","1635884","2097386"
"6","40832","2097387"
"8","90068","2097388"
"267","2850863","2097389"
"190","2095548","2097390"
"755","8488118","2097391"
"29","275045","2097392"
"892","10825193","2097393"
"1614","18843716","2097394"
"2529","30402107","2097395"
"124","1262720","2097396"
"8","83348","2097397"
"573","5741845","2097398"
"1565","17521521","2097399"
"897","9366681","2097400"
"987","10420182","2097401"
"328","4551045","2097402"
"338","3708925","2097403"
"142","1451012","2097404"
"916","11199007","2097405"
"227","2144797","2097406"
"438","4736049","2097407"
"215","1887805","2097408"
"469","5122435","2097409"
"119","1336324","2097410"
"66","723859","2097411"
"251","2376873","2097412"
"249","2512112","2097413"
"1872","22719168","2097414"
"15","105239","2097415"
"481","4848663","2097416"
"583","6817963","2097417"
"39","335440","2097418"
"171","2189587","2097419"
"412","4586079","2097420"
"618","7347499","2097421"
"33","257316","2097422"
"445","4937824","2097423"
"513","5581123","2097424"
"7","80148","2097425"
"10","104542","2097426"
"150","1635884","2097427"
"6","40832","2097428"
"560","7115004","2097429"
"142","1451012","2097430"
"422","4566460","2097431"
"16","102870","2097432"
"268","2853193","2097433"
"150","1635884","2097434"
"6","40832","2097435"
"42","393487","2097436"
"1210","14527799","2097437"
"698","7644709","2097438"
"276","2885664","2097439"
"352","4175844","2097440"
"66","723859","2097441"
"8","83348","2097442"
"26","284283","2097443"
"1158","15220617","2097444"
"29","474453","2097445"
"390","4443374","2097446"
"60","861551","2097447"
"163","2022122","2097448"
"409","4505109","2097449"
"29","474453","2097450"
"39","366542","2097451"
"29","474453","2097452"
"390","4443374","2097453"
"29","474453","2097454"
"64","556149","2097455"
"5","64296","2097456"
"4","46052","2097457"
"15","105239","2097458"
"5","64296","2097459"
"15","177779","2097460"
"11","74300","2097461"
"4","451850","2097462"
"5","47562","2097463"
"5","64296","2097464"
"4","46052","2097465"
"15","105239","2097466"
"4","46052","2097467"
"15","105239","2097468"
"113","1644260","2097469"
"25","292308","2097470"
"49","616658","2097471"
"25","292308","2097472"
"49","616658","2097473"
"1143","16067415","2097474"
"7","64013","2097475"
"55","676829","2097476"
"13","136923","2097477"
"13","144751","2097478"
"44","386251","2097479"
"13","148322","2097480"
"17","80362","2097481"
"15","200937","2097482"
"25","384499","2097483"
"50","794866","2097484"
"407","5616681","2097485"
"31","262055","2097486"
"306","4867672","2097487"
"23","254452","2097488"
"30","247989","2097489"
"20","168372","2097490"
"53","688478","2097491"
"21","191281","2097492"
"94","1371150","2097493"
"8","54358","2097494"
"15","200937","2097495"
"16","169649","2097496"
"55","676829","2097497"
"13","136923","2097498"
"15","117823","2097499"
"20","168372","2097500"
"13","144751","2097501"
"57","538146","2097502"
"13","148322","2097503"
"17","80362","2097504"
"25","384499","2097505"
"146","1800718","2097506"
"15","200937","2097507"
"13","136923","2097508"
"25","384499","2097509"
"20","168372","2097510"
"64","953159","2097511"
"59","697295","2097512"
"23","254452","2097513"
"592","7976385","2097514"
"10","63596","2097515"
"15","76438","2097516"
"13","80274","2097517"
"4","26830","2097518"
"7","75912","2097519"
"17","229154","2097520"
"2","40236","2097521"
"23","198597","2097522"
"18","154108","2097523"
"56","852850","2097524"
"39","613115","2097525"
"5","9200","2097526"
"10","148386","2097527"
"3","35879","2097528"
"44","564782","2097529"
"16","129065","2097530"
"9","64171","2097531"
"38","414218","2097532"
"4","10943","2097533"
"9","100555","2097534"
"81","1442400","2097535"
"12","101419","2097536"
"16","132252","2097537"
"4","12890","2097538"
"10","580425","2097539"
"22","491773","2097540"
"2","12207","2097541"
"7","85851","2097542"
"74","1019383","2097543"
"15","140455","2097544"
"16","192756","2097545"
"18","148472","2097546"
"62","796802","2097547"
"289","4285239","2097548"
"76","620099","2097549"
"31","183914","2097550"
"23","143870","2097551"
"19","89328","2097552"
"3","46736","2097553"
"4","26830","2097554"
"23","208912","2097555"
"30","282309","2097556"
"101","1384498","2097557"
"12","97712","2097558"
"43","624058","2097559"
"9","106905","2097560"
"20","165340","2097561"
"107","1458341","2097562"
"9","64171","2097563"
"7","85851","2097564"
"62","918198","2097565"
"81","1442400","2097566"
"16","132252","2097567"
"42","428634","2097568"
"19","89328","2097569"
"24","503980","2097570"
"10","107356","2097571"
"12","93719","2097572"
"19","164944","2097573"
"9","104848","2097574"
"10","179937","2097575"
"573","7691600","2097576"
"10","63596","2097577"
"15","76438","2097578"
"13","80274","2097579"
"4","26830","2097580"
"7","75912","2097581"
"17","229154","2097582"
"2","40236","2097583"
"23","198597","2097584"
"14","102746","2097585"
"56","852850","2097586"
"39","613115","2097587"
"5","9200","2097588"
"10","148386","2097589"
"3","35879","2097590"
"44","564782","2097591"
"16","129065","2097592"
"9","64171","2097593"
"35","382343","2097594"
"4","10943","2097595"
"5","33582","2097596"
"81","1442400","2097597"
"12","101419","2097598"
"14","126252","2097599"
"4","12890","2097600"
"22","491773","2097601"
"2","12207","2097602"
"7","85851","2097603"
"71","987508","2097604"
"15","140455","2097605"
"16","192756","2097606"
"16","142472","2097607"
"62","796802","2097608"
"285","4233877","2097609"
"72","553126","2097610"
"31","183914","2097611"
"23","143870","2097612"
"19","89328","2097613"
"3","46736","2097614"
"4","26830","2097615"
"19","141939","2097616"
"30","282309","2097617"
"97","1333136","2097618"
"12","97712","2097619"
"43","624058","2097620"
"9","106905","2097621"
"20","165340","2097622"
"107","1458341","2097623"
"9","64171","2097624"
"7","85851","2097625"
"59","886323","2097626"
"81","1442400","2097627"
"14","126252","2097628"
"39","396759","2097629"
"19","89328","2097630"
"24","503980","2097631"
"10","107356","2097632"
"12","93719","2097633"
"19","164944","2097634"
"128","1261468","2097635"
"17","154122","2097636"
"37","314564","2097637"
"47","476915","2097638"
"54","468686","2097639"
"2","38854","2097640"
"2","38854","2097641"
"37","314564","2097642"
"2","38854","2097643"
"54","468686","2097644"
"73","729051","2097645"
"37","314564","2097646"
"52","441258","2097647"
"2","38854","2097648"
"2","38854","2097649"
"37","314564","2097650"
"2","38854","2097651"
"52","441258","2097652"
"55","532417","2097653"
"46","450473","2097654"
"2672","33960216","2097655"
"9","94254","2097656"
"24","200237","2097657"
"9","36275","2097658"
"29","278414","2097659"
"39","517243","2097660"
"9","65705","2097661"
"61","613015","2097662"
"3","29631","2097663"
"175","1712126","2097664"
"48","355833","2097665"
"8","120720","2097666"
"10","76572","2097667"
"10","84811","2097668"
"26","276190","2097669"
"25","434267","2097670"
"34","248402","2097671"
"57","1089140","2097672"
"55","327323","2097673"
"56","465718","2097674"
"95","5212403","2097675"
"120","1343058","2097676"
"62","495603","2097677"
"44","372912","2097678"
"13","142563","2097679"
"200","1940336","2097680"
"262","2823747","2097681"
"15","99497","2097682"
"34","279844","2097683"
"13","56602","2097684"
"112","1140297","2097685"
"9","50735","2097686"
"33","321325","2097687"
"5","22660","2097688"
"128","1768390","2097689"
"240","3857915","2097690"
"70","674680","2097691"
"49","960480","2097692"
"28","345685","2097693"
"25","194902","2097694"
"99","895614","2097695"
"135","2216680","2097696"
"36","427817","2097697"
"261","2530958","2097698"
"147","1935329","2097699"
"27","359358","2097700"
"552","5339957","2097701"
"630","6978391","2097702"
"184","2234108","2097703"
"96","802967","2097704"
"191","6042288","2097705"
"53","594069","2097706"
"293","4289260","2097707"
"216","2252409","2097708"
"31","201591","2097709"
"9","36275","2097710"
"15","91275","2097711"
"46","473277","2097712"
"39","517243","2097713"
"13","51962","2097714"
"40","387605","2097715"
"20","291150","2097716"
"65","648483","2097717"
"175","1712126","2097718"
"48","355833","2097719"
"342","3576538","2097720"
"129","1669554","2097721"
"27","280690","2097722"
"55","327323","2097723"
"191","6042288","2097724"
"120","1343058","2097725"
"44","372912","2097726"
"155","1436096","2097727"
"200","1940336","2097728"
"165","1680884","2097729"
"128","1768390","2097730"
"240","3857915","2097731"
"70","674680","2097732"
"147","1410275","2097733"
"15","91275","2097734"
"168","1698891","2097735"
"53","540587","2097736"
"240","3857915","2097737"
"70","674680","2097738"
"191","6042288","2097739"
"350","4301661","2097740"
"473","4514243","2097741"
"101","1462052","2097742"
"72","580414","2097743"
"26","276190","2097744"
"209","1991970","2097745"
"184","2234108","2097746"
"943","10203653","2097747"
"26","255318","2097748"
"13","97219","2097749"
"14","70947","2097750"
"9","63572","2097751"
"22","254417","2097752"
"24","376768","2097753"
"16","168026","2097754"
"5","94338","2097755"
"113","1303404","2097756"
"137","1425128","2097757"
"262","2823747","2097758"
"33","321325","2097759"
"13","225026","2097760"
"11","188796","2097761"
"94","854729","2097762"
"2","27375","2097763"
"57","1045882","2097764"
"425","4287052","2097765"
"167","1647380","2097766"
"13","225026","2097767"
"48","371307","2097768"
"42","573268","2097769"
"34","337337","2097770"
"140","1471570","2097771"
"2","27375","2097772"
"43","450181","2097773"
"13","97219","2097774"
"14","70947","2097775"
"287","3055345","2097776"
"48","828207","2097777"
"23","258917","2097778"
"42","573268","2097779"
"113","1303404","2097780"
"132","1221777","2097781"
"137","1425128","2097782"
"13","225026","2097783"
"2","27375","2097784"
"127","1374351","2097785"
"42","573268","2097786"
"137","1425128","2097787"
"383","3902155","2097788"
"14","595701","2097789"
"22","254417","2097790"
"13","225026","2097791"
"1644","22286785","2097792"
"61","613015","2097793"
"172","1683297","2097794"
"34","284886","2097795"
"4","21773","2097796"
"18","80376","2097797"
"38","443695","2097798"
"46","257687","2097799"
"54","438625","2097800"
"7","39654","2097801"
"44","372912","2097802"
"9","70128","2097803"
